Date,Open,High,Low,Close,Adj Close,Volume,ADTV 10,ADTV Std 10
2011-06-01,6.0,6.02,5.676,5.704,5.704,7649500,11214249,17901361
2011-06-02,5.704,5.864,5.702,5.752,5.752,4931500,11370774,15038884
2011-06-03,5.99,6.3,5.9,6.026,6.026,31046000,13163477,41576704
2011-06-06,6.02,6.026,5.652,5.74,5.74,11655500,14087047,25644096
2011-06-07,5.788,5.878,5.652,5.674,5.674,6110500,14358654,19333609
2011-06-08,5.688,5.72,5.404,5.424,5.424,8479500,14926915,22005481
2011-06-09,5.486,5.62,5.42,5.524,5.524,8016000,13438791,22410756
2011-06-10,5.504,5.66,5.47,5.572,5.572,7833000,12404829,22619536
2011-06-13,5.614,5.776,5.576,5.686,5.686,8567000,12314582,23648769
2011-06-14,5.708,5.94,5.704,5.72,5.72,7867000,11447008,23097636
2011-06-15,5.688,5.69,5.414,5.464,5.464,6725000,11267800,21911761
2011-06-16,5.534,5.6,5.148,5.3,5.3,9211000,11677830,24304900
2011-06-17,5.374,5.54,5.228,5.3,5.3,8570000,9471233,23532201
2011-06-20,5.258,5.292,5.1,5.202,5.202,7689000,8853923,22052416
2011-06-21,5.248,5.546,5.2,5.506,5.506,7480000,8929142,21150801
2011-06-22,5.474,5.65,5.42,5.442,5.442,7378000,8826514,20349121
2011-06-23,5.44,5.544,5.242,5.542,5.542,5850000,8599651,18258529
2011-06-24,5.528,5.594,5.452,5.514,5.514,18042500,9597915,29964676
2011-06-27,5.546,5.656,5.462,5.492,5.492,9047000,9745741,21883684
2011-06-28,5.558,5.65,5.534,5.622,5.622,4446000,9418424,16273156
2011-06-29,5.7,5.818,5.614,5.658,5.658,7309000,9444092,18386944
2011-06-30,5.7,5.866,5.68,5.826,5.826,4733500,8998909,15752961
2011-07-01,5.814,5.92,5.76,5.804,5.804,4274500,8524840,14938225
2011-07-05,5.804,5.904,5.742,5.828,5.828,4980000,8206534,15499969
2011-07-06,5.828,5.828,5.71,5.792,5.792,4634500,7890153,15108769
2011-07-07,5.828,6.0,5.802,5.946,5.946,6639500,7784665,16966161
2011-07-08,5.978,5.978,5.718,5.762,5.762,6203000,7809416,16638241
2011-07-11,5.68,5.706,5.6,5.67,5.67,4879000,6495541,14969161
2011-07-12,5.674,5.818,5.6,5.634,5.634,5227000,5982154,14776336
2011-07-13,5.686,5.806,5.58,5.728,5.728,5330000,6019215,14516100
2011-07-14,5.706,5.792,5.45,5.522,5.522,5795000,5871521,14600041
2011-07-15,5.558,5.566,5.48,5.516,5.516,3545000,5737902,12033961
2011-07-18,5.468,5.49,5.326,5.446,5.446,4259500,5723040,12208036
2011-07-19,5.516,5.622,5.508,5.578,5.578,5130500,5736604,12852225
2011-07-20,5.6,6.088,5.56,5.738,5.738,15241500,6798660,22915369
2011-07-21,5.782,5.832,5.62,5.74,5.74,5057500,6746666,13638249
2011-07-22,5.74,5.908,5.71,5.858,5.858,2917500,6412916,10432900
2011-07-25,5.802,5.85,5.688,5.698,5.698,3366500,6228291,10530025
2011-07-26,5.662,5.754,5.594,5.6,5.6,3803000,6067429,10989225
2011-07-27,5.7,5.7,5.502,5.528,5.528,4792500,5997592,12020089
2011-07-28,5.52,5.71,5.508,5.634,5.634,4693500,5880459,12027024
2011-07-29,5.56,5.68,5.5,5.634,5.634,4741000,5988345,12096484
2011-08-01,5.734,5.796,5.642,5.754,5.754,5824500,6155634,13235044
2011-08-02,5.738,5.84,5.454,5.468,5.468,7747000,6434013,15335056
2011-08-03,5.5,5.566,5.268,5.44,5.44,8972500,5834951,16679056
2011-08-04,5.302,5.378,4.934,4.95,4.95,15322500,6801545,23164969
2011-08-05,4.998,5.076,4.566,4.848,4.848,9822000,7588654,18429849
2011-08-08,4.62,4.888,4.62,4.728,4.728,13042500,8634965,21418384
2011-08-09,4.83,5.09,4.74,5.012,5.012,6667000,9025996,15642025
2011-08-10,5.088,5.088,4.726,4.764,4.764,7821000,9367949,16548624
2011-08-11,4.808,5.15,4.8,5.06,5.06,4182500,9351044,13351716
2011-08-12,5.12,5.428,5.072,5.262,5.262,5045500,9379804,14235529
2011-08-15,5.324,5.35,5.186,5.246,5.246,3693000,9169530,13271449
